朱时茂	陈佩斯
刘海粟	傅雷
周恩来	孙维世
游象富	郭台铭
马敬伯	马桂元
钱三强	何泽慧
冯爱居	宋夫人
张国立	韩雨芹
大兵	奇志
杨千嬅	丁子高
侯佩岑	张菲
谷景生	薄熙来
权侑莉	金孝渊
马晗	刘莹
张桂凤	袁雪芬
父	俞粟庐
贾充	贾南风
刘长瑜	冯志孝
张筱贤	张月楼
薛宝钗	薛姨妈
孙立	孙新
潘光旦	吴文藻
郭槐	贾充
元彪	成龙
阿尔瓦	爱迪生
谭香云	廖静秋
李蓉芳	陆锦娟
叶童	陈国熹
梅兰芳	言慧珠
方伟	方美芳
夏启	嫦娥
笑林	马季
关正明	关栋天
福康安	胡斐
于立群	郭沫若
白岩松	朱宏钧
庞伟	张广伟
周慧敏	倪震
徐玉兰	钱惠丽
刘备	赵云
沈伐	侯跃文
蒋介石	孔祥熙
刘封	刘备
孙权	刘备
李文华	姜昆
郭秀云	庞杰
范伟	赵本山
李健生	章伯钧
周总理	黄琪翔
王夫人	贾兰
汪桂芬	程长庚
陈恂	陈温
郑中基	蔡卓妍
黄宗英	黄宗汉
黄宗洛	黄宗江
戴庚玲	麦浚龙
刘志祥	刘志军
兰汗	慕容盛
阳友鹤	周慕莲
元骏豪	杨丞琳
张君秋	张学浩
章小蕙	钟镇涛
林黛玉	薛宝钗
孝庄	潘虹
黄奕	赵薇
董洁	张柏芝
蒋孝勇	蒋经国
李菁	郭德纲
李慧芳	华
毛岸青	毛新宇
何泽瑛	何泽慧
赵薇	李小龙
赵又廷	吴尊
尚长荣	王平
沈阳	孙海英
武敦儒	金庸
扈尔汉	代善
刘濞	刘邦
冉莹颖	邹市明
徐威	张怡宁
梅兰芳	徐兰沅
张謇	吴长庆
王安石	程颢
裘芸	张顺
元华	成龙
孙菊仙	谭鑫培
父	杨玄琰
韦小宝	张卫健
郭可盈	米雪
秦沛	柏安妮
赵雅麟	戚雅仙
陈发科	陈照奎
陆锦花	傅全香
徐威	张怡宁
希丁克	安贞焕
宋容慧	俞斌
贾宝玉	王熙凤
Twins	钟欣桐
高峰	曹云金
李公朴	端木蕻良
孙俪	邓超
钱永真	蒋英
刘德华	陈冠希
侯耀文	侯瓒
侯耀文	袁茵
张桂凤	傅全香
吕瑞英	袁雪芬
谢逊	张翠山
唐僧	迟重瑞
孙悟空	铁扇公主
杨步伟	赵元任
金吒	李靖
沈泽民	张琴秋
宙斯	瑞亚
曹勤	孙姬
朱希祖	章太炎
蒋方良	蒋友青
司马懿	金秀山
黄奕	姜凯
蒋纬国	蒋经国
江欣燕	张卫健
端木蕻良	萧红
李夫人	费翠棠
李琳	赵本山
李铭顺	范文芳
金庸	朱九真
李嫣	王菲
郭德纲	赵佩茹
童芷苓	童寿苓
倪桂珍	宋子文
陆游	李白
范瑞娟	侯宝林
郭德纲	于谦
孙立	孙新
洪金宝	成龙
梁伯熙	钟少珍
邓婕	张国立
孟丽君	任剑辉
俞明震	俞大维
红孩儿	汤俊霈
赵晨浩	周杰伦
徐子淇	洪天明
杨进明	李云杰
袁雪芬	范瑞娟
张洁雯	李孝贞
刘备	孙权
许广平	赵朴初
刘少奇	王光美
张铁林	赵合德
韩信	萧何
戴福铸	戴国恒
张桂凤	傅全香
汉文帝	贾谊
李香君	侯方域
叶至善	叶圣陶
何云伟	高峰
戴思聪	戴蕴慧
笑林	姜昆
唐韵	马世媛
沃尔特	卡拉
赵奢	赵括
杨紫琼	胡慧中
王映霞	郁达夫
吕美荪	吕惠如
赵晨浩	尹恩惠
刘国梁	王忠全
金捷	秦怡
张智霖	袁咏仪
刘彻	卫青
严君平	扬雄
林黛玉	林申
卡雷拉斯	多明戈
李婷	孙甜甜
冯小刚	王朔
杨秀清	石达开
傅全香	徐玉兰
赵一荻	张学良
陈琮英	蔡畅
郝寿臣	筱翠花
谢亚龙	谢天竞
陈山聪	何超云
俞岱岩	张三丰
诸葛亮	刘备
郑嘉颖	徐靖雯
范瑞娟	张桂凤
蔡卓妍	郑中基
黄宗江	黄宗英
王靖雄	王令尘
嫦娥	猪八戒
佘太君	杨业
宗馥莉	施幼珍
杨荣环	雷英
林建岳	林孝贤
陈德容	王赞策
徐天红	张桂凤
木谷实	小林光一
王玉	宋德全
林永健	周冬齐
刘之冰	茹萍
叶群	毛泽东
柳湘莲	尤三姐
梁醒波	任剑辉
林凤娇	房祖名
李世民	程知节
韩拱辰	蔡儒楷
丁是娥	马莉莉
王予柔	易建联
赵合德	赵飞燕
杨少华	马德禄
邵滨孙	杨月英
钱嘉乐	洪金宝
张桂凤	袁雪芬
孙甫亭	离异
汪明荃	罗家英
满文军	李俐
林平之	岳灵珊
吴松岩	吴炳璋
毛头	李永波
刘德华	蔡少芬
汪小菲	大S
岳飞	宗泽
邵滨孙	马莉莉
郭守正	林淑如
张学良	于凤至
毛岸青	毛岸英
王烁	范冰冰
杜宪	左小青
栾云平	高峰
张翠山	殷素素
孔明	李洪春
赵薇	张卫健
周文姬	周星驰
毛新宇	刘滨
侯君集	程知节
郭达	蔡明
冯培澜	梁存真
傅聪	傅雷
曹云金	栾云平
张卫健	张茜
杜鹃	李海泉
李宗仁	胡友松
张辽	曹操
刘思齐	毛岸英
双儿	韦小宝
魏莲芳	李砚萍
王希坚	王辩
金润玉	李时炯
孙权	张辽
林海峰	蒋中正
余丽珍	任剑辉
杨云	潘长江
董卓	吕布
蔡葆真	蔡儒楷
林正英	文颂娴
周海婴	周令飞
章含之	章士钊
金少山	荀慧生
张春彦	于连泉
彭德怀	毛岸英
武修文	武三通
赵雅仪	陈春剑
林月云	侯世宏
林立衡	林立果
Sergio	梁咏琪
贾君	贾海平
阿峰	刘晓庆
侯耀华	侯宝林
黎枫	黎洪模
蒋介石	刘湘
郑秀文	许志安
西施	梁醒波
希姆莱	海德里希
王力宏	韩庚
朱颖	许杏虎
贾静雯	孙志浩
汤镇业	翁美玲
杨乐乐	汪涵
多明戈	帕瓦罗蒂
齐白石	黄宾虹
田欣仪	叶一茜
关羽	关平
王怡仁	蓝正龙
周瑜	小乔
徐玉兰	傅全香
朱元璋	姚广孝
甄妮	张震声
哈文	李咏
林峰	舒淇
恩格斯	马克思
燕青	史文恭
顾梅君	顾兰君
光绪	黄遵宪
金吒	哪吒
虞姬	项羽
郭焱	丁宁
安贞焕	李惠媛
关公	侯宝林
茅盾	鲁迅
钱思亮	钱纯
唐雪卿	阮玲玉
黄和祥	巩俐
房仕德	房道龙
朱德	刘湘
姚沁蕾	叶莉
马三立	文章
黄忠	曹操
田秉毅	周继红
陈水扁	陈致中
贾海平	吴洁华
邢夫人	邢岫烟
秦厚修	马英九
王熙凤	贾琏
武宗文	仲满
鲁元公主	刘盈
章小蕙	钟镇涛
文颂娴	林文龙
林彪	叶群
曹节	汉献帝
薛艳君	赵登先
唐太宗	李世民
赖月明	陈毅
郭台铭	郭晓玲
汪明荃	刘昌华
卡斯特罗	阿林娜
辛柏青	朱媛媛
黄宗汉	黄宗江
岳不群	令狐冲
刘曜	羊献容
任剑辉	女
孔鲤	孔子
潘粤明	董洁
郑中基	余思敏
关聪	郑少秋
朱玲玲	霍启刚
司马懿	曹爽
周信芳	裘丽琳
夏衍	聂耳
曹操	诸葛亮
贾惜春	贾珍
夏侯渊	夏侯威
巴金	文章
郭晓玲	曹斯杰
姜大卫	邵氏
徐子淇	李泽楷
富兰克林	本杰明
师胜杰	孟凡贵
张翠山	殷素素
刘伯明	翟志刚
刘连玉	周麟阁
陈强	陈大愚
李敬元	李孝贞
邢夫人	贾政
武宫正树	小林光一
郭玉昆	关正明
大S	闫妮
小龙女	郭靖
郭台铭	郭晓玲
曹恩玉	洪金宝
蒋经国	蒋方良
郑佩佩	冯宝宝
钟家鸿	陈慧珊
鲁迅	周作人
谢锐青	阎世善
曹宪	曹节
郭全宝	孙玉奎
邢峰	朱安婕
梁醒波	唐伯虎
哪吒	李靖
林建岳	林孝贤
吕丽萍	孙海英
刘备	赵云
侯宝林	孙玉奎
周瑜	曹操
古龙	郑小龙
苗人凤	南兰
袁克定	袁克文
刘海粟	傅雷
孔令侃	宋蔼龄
南兰	田归农
刘金宝	王雪冰
海德里希	希姆莱
周芷若	张无忌
金敬姬	金日成
邓稼先	许德珩
张国荣	唐鹤德
吴文藻	杰克逊
秦岚	陆川
岳灵珊	华山
夏梦	林葆诚
松赞干布	唐太宗
李艳芳	竺水招
杨幂	刘恺威
晋惠帝	司马炎
冯景兰	冯钟芸
黄有龙	赵薇
常旭久	谭凤元
周信芳	周慰堂
萧克	粟裕
言承旭	周渝民
甄妮	傅声
侯喜瑞	李先念
曹氏	曹休
林志刚	邓亚萍
洪天祥	洪金宝
刘海粟	徐悲鸿
戈薇	桔梗
罗伯特	詹姆斯
朱德	林彪
俞曲园	俞平伯
傅彪	张秋芳
黄志忠	何音
宋大仁	张小凡
冯子洋	郭贵臣
李鸿章	李经述
连横	赵兰坤
郭荣启	杨少华
赵世忠	汪恩禄
梁朝伟	刘嘉玲
邓育昆	刘雪华
蒋纬国	蒋友梅
张子石	康生
张玉林	刘宝光
吴瑞林	军
马增蕙	马连登
曾宝仪	曾国祥
高庆奎	高世寿
冯云山	石达开
吴用	宋江
陈师曾	沙孟海
黄振华	黄兴
萧军	鲁迅
鲁迅	马珏
马琳	沈阳
李烈	罗大佑
刘伟	戴志诚
周作人	鲁迅
姬玉	陈晓旭
释小龙	何洁
洪天照	洪金宝
李兆基	徐子淇
鲁迅	刘半农
唐一菲	凌潇肃
典韦	曹昂
许志安	郑秀文
子贡	孔子
罗明珠	王培宏
徐悲鸿	田汉
端木蕻良	萧军
曹丕	曹植
姚怡琴	离异
马克思	恩格斯
郝明莉	毛新宇
刘永美	刘永好
张铎	任重
章亚若	蒋经国
孙多慈	徐悲鸿
小龙女	郭靖
胡雪岩	钱学森
李小峰	刘半农
康熙	顺治
孙科	蓝妮
钱玄同	沈尹默
赵飞燕	赵合德
金吒	哪吒
马莉君	周美青
周美青	马莉君
谭兰卿	梁醒波
王文娟	徐玉兰
汉景帝	胡母生
何香凝	廖仲恺
黎炜毅	黎洪模
鲍蕾	鲍莉
蒋介石	戴季陶
海岩	袁立
阮玲玉	金焰
甘泗淇	彭德怀
安东尼	弗朗西斯
玄慈	虚竹
钱瑗	钱钟书
曾启荣	曾宝仪
何祖光	温碧霞
杨珉	谢虹雯
杨玉环	杨玄琰
权侑莉	李顺圭
父	曹炽
静	小凤仙
刘邦	吕后
小渊惠三	麻生太郎
梁培兰	戈宝权
商芳臣	钟云香
张绣	曹昂
刘銮雄	李嘉欣
杨步伟	赵元任
卫若兰	史湘云
韦昌辉	杨秀清
程颐	吕大临
曹羲	曹爽
顾雍	孙权
萧何	刘邦
王熙凤	秋桐
常俊丽	郭英丽
吕良伟	杨小娟
段祺瑞	王占元
范旭霞	朱时茂
徐玉兰	袁雪芬
方志敏	缪敏
陈毅	陈昊苏
蒋氏	蒋介石
毛顺生	毛泽东
高以翔	杜晓婷
曹熊	曹操
高英培	孟凡贵
凌爱珍	石筱英
普京	柳德米拉
平	郭玉昆
嫘祖	黄帝
吕大钧	吕大临
杨业	佘太君
侯宝林	郭启儒
常香玉	丁果仙
甄子丹	梁静慈
刘肥	刘邦
江欣燕	张卫健
李文华	姜昆
夏伊乔	刘海粟
孙亮	孙权
包小柏	包小松
李泳豪	杨思琦
刘备	孔明
袁日初	袁和平
姚广孝	朱元璋
安贞焕	李惠媛
侯耀文	袁茵
蒋纬国	孔令侃
李文云	胡学礼
徐光宪	高小霞
刘芸	郑钧
赵晨浩	宋慧乔
武三思	李裹儿
潘金莲	武松
叶剑波	陈惠红
孙悟空	沙僧
桓温	女
龚苏萍	孙毓敏
袁术	袁敏
林志刚	邓亚萍
王杰	王筱翠
李长春	荀慧生
杨小娟	吕善婷
凤宝桐	孙柏龄
孙策	小乔
薛姨妈	王夫人
李天焕	聂荣臻
王晓男	鲍莉
万里	林文龙
张小巧	吕瑞英
吴思远	王家卫
李克勤	卢淑仪
叶步青	招允
蒋友柏	蒋孝勇
周伯宜	鲁迅
钟小江	刘若英
贾政	周汝昌
吴文藻	冰心
杨幂	张靓颖
曾志伟	曾宝仪
蔡和森	向警予
徐世昌	林长民
叶问	徐尚田
恬妞	叶聪豪
金阔亭	孙佐臣
叶群	林豆豆
司马迁	司马相如
洪欣	陈法蓉
周文王	周武王
卓琳	邓小平
宋江	林冲
钟镇涛	范姜
俞启威	俞珊
陈建莹	女
Selina	任家萱
秦可卿	贾珍
梁欢	梁天
许爱周	许歧伯
范雯	黄旭
张桂莲	陆锦花
陈独秀	潘兰珍
孙悟空	白龙马
成龙	元彪
柳淳泽	潘基文
薛觉先	唐雪卿
郭全宝	侯宝林
袁克权	袁克齐
释小龙	释永信
女	铁扇公主
何泽慧	钱三强
赵一荻	张学森
李天焕	聂荣臻
赵元任	杨步伟
谭富英	王晓临
陈英雪	女
茅盾	胡风
殷梨亭	杨不悔
女	李信成
杨小萍	刘恒林
侯世宏	林月云
王夫人	阮星竹
周汤豪	女
郭博	安娜
孔令华	孔继宁
戴志诚	唐杰忠
洪天明	洪天照
鞠萍	蒋翼遥
宋德全	王玉
任剑辉	李海泉
貂蝉	吕布
郝寿臣	袁世海
蔡依林	比莉
云燕铭	马彦祥
袁世海	孙盛文
本杰明	富兰克林
曹爽	曹彦
戴志诚	袁茵
常俊丽	赵贞玉
马谡	刘备
于魁智	冯志孝
陈鸣志	耿伯春
王锡鹏	郑国鸿
梁思成	林徽因
李俐	满文军
毛泽东	章含之
父	张无忌
郭台强	郭台铭
瞿秋白	杨之华
张国立	罗秀春
张曼玉	周星驰
徐天红	范瑞娟
管仲	鲍叔牙
罗嘉良	方敏仪
马良	诸葛亮
太平公主	唐睿宗
郭沫若	于立群
于玉蘅	陈琪
薛明	贺晓明
艾青	端木蕻良
罗美薇	李丽珍
钟镇涛	钟懿
张光宇	叶浅予
田秉毅	周继红
张有兴	张天爱
葛优	范冰冰
庄希泉	余佩皋
刘嘉玲	曾华倩
平阳公主	卫子夫
孙权	张辽
张一山	张晓武
费俊龙	翟志刚
刘雪华	邓育昆
刘恒林	杨小萍
李小龙	何爱榆
杨少华	王学义
杨宝森	杨珉
林建岳	霍启山
钱玄同	刘半农
乾隆	袁枚
鲍蕾	陆毅
乐基儿	黎明
李元吉	李渊
刘奎官	范宝亭
许士芬	许歧伯
郭荣启	马志明
卢俊义	盖叫天
任剑辉	薛觉先
新翠霞	刘翠霞
赵本山	孙小飞
赵飞燕	汉成帝
曹锟	阎锡山
林徽因	徐志摩
侯喜瑞	谭小培
李逵	关公
吕布	貂蝉
霍英东	霍慧芬
程昱	吕布
后羿	嫦娥
杨成武	李志民
龚云甫	谭小培
洪钧	赛金花
容祖儿	陈道明
李连杰	黄秋燕
解宝	解珍
程玉英	王万梅
翁帆	杨振宁
唐伯虎	梁醒波
王蒙	女
句号	刘桂娟
元奎	元华
杨钰莹	戴娆
肖桂云	李前宽
周杰伦	郑秀文
杨小楼	刘砚芳
成龙	程小东
陈水扁	陈致中
周杰伦	吴尊
红线女	任剑辉
黄光裕	黄俊钦
连战	连震东
苏茹	岳灵珊
冠佑	五月天
赵晨浩	彭于晏
廖静文	明
柯玉芝	李光耀
路易十四	路易十五
戴笠	胡蝶
麦炳荣	李海泉
鲍蕾	鲍莉
侯耀华	侯瓒
吕布	程昱
唐鹤德	张国荣
芮乃伟	吴清源
毛泽东	毛岸青
陆游	唐婉
林韦君	许绍洋
战福章	战殊
杨尚昆	洪学智
李红	张庆林
刘邦	韩信
杨振宁	刘永言
蒋介石	宋美龄
张会	刘秋宏
尤二姐	尤三姐
Angelababy	黄晓明
姜文	周韵
周少麟	周信芳
李显	李裹儿
李海泉	何金棠
柳湘莲	尤三姐
程颢	程颐
陈国熹	梅艳芳
洪金宝	成龙
任剑辉	梁醒波
贝克汉姆	安贞焕
曹操	曹冲
周云帆	陈一舟
萧红	萧军
萧朝贵	杨秀清
周韵	姜文
方静	阿忆
刘德华	李宗盛
小龙女	林凤娇
俞岱岩	俞莲舟
邓小平	包玉刚
宋远桥	俞莲舟
奥尼尔	詹姆斯
方敏仪	罗嘉良
文成公主	松赞干布
丁敏君	金庸
马增芬	马增蕙
佟守本	邓继增
高以翔	周汶锜
汪小菲	大S
吕禄	吕后
刘德华	郑秀文
竺水招	范瑞娟
允浩	吴尊
林则徐	沈葆桢
林志刚	邓亚萍
刘诗雯	张继科
陈宝仪	陈非侬
郭德纲	栾云平
刘秋宏	张会
邓浩洪	邓立英
冯亦代	黄宗英
鲍莉	郭京飞
林淑如	曹斯杰
周正毅	杨恭如
司马懿	曹真
曾志伟	孟海
周杰伦	彭于晏
英巴图	宋丹丹
关羽	张飞
霍启人	杨千霈
马超	刘备
费俊龙	刘伯明
何超仪	何超琼
贾蓉	贾珍
胡风	梅志
向前	叶盛章
王德显	朱凤玲
朱玲玲	霍震霆
钟镇涛	章小婉
史敏	高
黄家强	黄家驹
孙红雷	巩俐
孙协志	许孟哲
袁祥仁	袁日初
刘青云	黄秋生
李苦禅	李可染
袁振威	袁祥仁
张学良	张孝若
傅彪	张秋芳
女	杨步伟
关世栋	关伯威
梁思成	林徽因
郭启儒	关公
武则天	唐中宗
董仲舒	胡母生
孙权	孙虑
郭台铭	曾馨莹
周璇	周伟
杨秋玲	李金鸿
张又侠	张宗逊
丁善德	余隆
李海泉	任剑辉
蒋介石	宋美龄
杨小娟	吕良伟
章子怡	顾长卫
杨逍	夏雪宜
刘翔	孙海平
王志文	陈坚红
杨素兰	周慕莲
郭台强	曹斯杰
宋江	戴宗
武敦儒	武修文
马季	赵炎
普京	柳德米拉
王根英	陈知建
高峰	那英
马清伟	关之琳
张译	罗海琼
金庸	武修文
曹节	曹操
姜昆	唐杰忠
陈宝珠	陈宝仪
孔明	诸葛亮
曹丕	卞氏
谭鑫培	谭正岩
赖雅	张爱玲
吴建豪	洪天祥
齐豫	三毛
邓小南	邓广铭
新凤霞	吴祖光
高曙光	江珊
许昕	秦志戬
女	朱慧珍
李敖	胡因梦
任剑辉	梁醒波
梅葆玖	梅兰芳
宋子文	陈果夫
李力群	毛泽东
吕大防	吕大钧
言承旭	林志玲
连横	连震东
成钧	赵启民
王明	习仲勋
李世芳	魏莲芳
曹节	曹奂
李小龙	丁佩
韦昌辉	洪秀全
于谦	李菁
许世勋	许晋亨
傅彪	张秋芳
薛福成	光绪
曹丕	曹霖
任剑辉	梁醒波
曹节	曹宪
韦昌辉	洪秀全
严茜子	黄胜
林月云	邱嘉雄
陈幸妤	赵玉柱
史文恭	张翼鹏
萨马兰奇	父
毛泽覃	毛泽东
刘备	张飞
周丽萍	谭晶
孙科	张孝若
毛泽民	毛泽覃
李海泉	李振辉
梁思成	林徽因
本杰明	富兰克林
郝海东	李霄鹏
荀彧	枣祗
钱惠丽	王文娟
李世济	刘桂娟
赵伟洲	杨少华
李孝贞	杨维
徐靖雯	陈豪
杨尚昆	杨得志
李渊	李世民
任弼时	陈毅
黄志忠	黄渤远
张无忌	杨不悔
红线女	侯宝林
徐志摩	凌叔华
郑秀	曹禺
谢虹雯	张君秋
谭正岩	谭元寿
宋任穷	钟月林
帕瓦罗蒂	卡雷拉斯
杨若兮	刘威
杨采妮	金城武
宋美龄	王采玉
陈宝国	陈道明
马季	袁雪芬
毛泽东	李敏
司马相如	卓文君
冯宝宝	任剑辉
那辛	那英
徐子淇	李兆基
吴亚馨	李宗瑞
蔡振华	黄胜
罗璇	谢才萍
任剑辉	西施
高峰	栾云平
茅海童	陈锐
顾长卫	蒋雯丽
刘半农	屠敬山
房仕德	房仕胜
江珊	维多利亚
孙亮	孙鲁育
叶准	叶问
梁静茹	赵元同
孙悟空	铁扇公主
林淑如	郭晓玲
洪秀全	李秀成
乔冠华	龚澎
李默然	龙潮
魏骏杰	滕丽名
林晓峰	林海峰
梁红玉	韩世忠
罗艳卿	任剑辉
吴佳尼	马景涛
唐玄宗	杨贵妃
盖叫天	史文恭
许崇清	许崇济
马丽娟	王军霞
李宁	陈永妍
郑曼青	宋幼庵
胡斐	苗人凤
赵云	刘备
叶公超	陈竹隐
慕容盛	兰穆
聂耳	田汉
刘备	刘表
曹操	刘备
谭元寿	李佩红
莫文蔚	冯德伦
张学良	蒋介石
马立安	马鹤凌
陈玉成	李秀成
曹薰铉	李昌镐
佟守本	陈鹏
陆毅	鲍蕾
毛泽东	毛泽建
王洛宾	姚雪垠
刘表	刘琮
徐庆平	女
肖桂云	李前宽
刘思齐	毛岸青
何超云	陈婉珍
方宏进	于红伟
徐天红	张桂凤
傅全香	徐天红
陈昊苏	陈毅
项羽	虞姬
贺治华	朱德
郭守敬	刘秉忠
惠英红	黄子扬
刘长瑜	耿巧云
浦安修	文静
孙权	孙亮
吕布	貂蝉
洪秀全	罗孝全
刘永美	刘永好
叶群	林彪
蓝妮	孙穗芬
宋美龄	蒋经国
曾志伟	钟欣桐
张国立	王栎鑫
杜宪	陈格
刘备	赵云
黄有龙	赵薇
赖昌星	赖俊健
慕容盛	兰穆
孙谦	孙皓
刘曜	刘胤
关平	关索
许亚军	张澍
郭玉昆	董少英
慕容盛	兰汗
潘虹	米家山
卓文君	司马相如
卓文君	司马相如
女	王希坚
汪明荃	罗家英
袁雪芬	范瑞娟
陈佩斯	朱时茂
范长江	沈谱
唐代宗	唐肃宗
肃顺	咸丰
高庆奎	梅兰芳
林修梅	林伯渠
王文玉	陈鸣志
曹操	曹芳
赵兰坤	连震东
黎婴	陈志云
黄帝	嫘祖
侯耀文	戴志诚
齐秦	方美芳
吕一	王阳
郭子仪	郭曜
女	羊献容
陆定一	严慰冰
黄志忠	何音
胡适	女
万梓良	林文龙
谢亚龙	谢天竞
包小柏	包小松
许晋亨	何超琼
公孙瓒	赵云
陶铸	曾志
周景轩	吴彬
葛福鸿	蔡绿峰
李逍遥	赵灵儿
吕良伟	邝美云
孙新	顾大嫂
贺子珍	贺敏学
陈东升	陆昂
刘亦菲	陈金飞
李文	李敖
戴军	李静
马英九	洪荣宏
鲁迅	许广平
王德显	邢慧娜
刘思齐	张文秋
周文姬	于文凤
宋国生	宋飞
白崇禧	蒋介石
石班瑜	周星驰
程知节	李世民
李永波	田秉毅
陈毅	毛泽覃
洪天明	洪金宝
Gandhi	圣雄甘地
李戡	王小屯
卡卡	迪甘
朱德	任弼时
武敦儒	武修文
蒋中正	宋美龄
沈殿霞	郑欣宜
吕布	金喜全
赵本山	宋丹丹
军	刘备
卡雷拉斯	多明戈
晋惠帝	羊献容
武修文	黄药师
毛岸英	刘思齐
郭全宝	郭启儒
任讷	女
吴法宪	林彪
阳友鹤	周慕莲
康熙	柳如是
李立三	李莎
蒋介石	孙中山
曹植	曹丕
刘宝瑞	王长友
曹操	曹节
毛泽东	毛岸英
谭兰卿	任冰儿
任剑辉	李海泉
谭元寿	尚长荣
笑林	赵炎
蔡依林	郑秀文
少女时代	金孝渊
元奎	成龙
钱学森	钱永真
郭晓玲	郭台铭
李秀成	洪秀全
李伯清	刘德一
李阳	李金
唐寅	沈周
刘备	夏侯敦
刘备	刘琮
米雪	雪梨
许晋亨	李嘉欣
常宝霖	刘宝瑞
林志刚	邓亚萍
孙策	孙权
黄胜	蔡振华
汉惠帝	刘邦
叶志铭	郑裕彤
朱茵	闫妮
缪进兰	秦汉
佐藤荣作	安倍晋三
王明	邓颖超
吕大临	吕大钧
陶铸	陶斯亮
宋江	戴宗
科比	詹姆斯
郭德纲	于谦
钱钟书	女
邱士楷	林志玲
甘夫人	刘备
柳淳泽	潘基文
邵娜	郑智
曾志伟	王美华
袁紫衣	胡斐
诸葛亮	关兴
姜昆	冯巩
吕瑞英	傅全香
乌索普	路飞
钟复光	施复亮
金敏智	女
刘备	甘夫人
刘少奇	王光美
孙元良	秦汉
陈赓	谭政
张伯驹	袁世凯
袁和平	袁祥仁
黄圣依	周星驰
刘翔	孙海平
孔继宁	李敏
郭槐	贾充
侯宝林	谢东
袁雪芬	徐玉兰
吴洁华	贾海平
葛优	孙红雷
尚长荣	谭孝曾
夏侯楙	夏侯惇
吴法宪	林彪
王仁甫	季芹
刘德海	吴祖强
郭德纲	高峰
陆九渊	陆九龄
赵元任	杨步伟
朱泳腾	兰雨霖
冯小刚	冯思语
戚雅仙	马莉莉
曹髦	曹霖
姜凯	黄奕
蒋中正	胡宗南
焦德海	张寿臣
叶群	林彪
于谦	秦丽
李根	曹云金
钱钟书	钱瑗
赵剑英	覃辉
陈锦棠	任剑辉
戴志诚	王谦祥
朱宏钧	白岩松
刘德华	韩庚
董卓	王允
郑允浩	韩庚
梁思成	林洙
钱玄同	周作人
梁醒波	任剑辉
鲍莉	鲍蕾
陈幸妤	陈致中
杨得志	杨成武
关礼杰	李丽珍
女	吕善婷
郭富城	熊黛林
班婕妤	汉成帝
洪金宝	林正英
武敦儒	武修文
缪进兰	三毛
李圣根	晏紫
吴作人	萧淑芳
朱元璋	汉光武
关楚耀	卫诗
大兵	奇志
曹云金	何云伟
萧红	萧军
俞晴	雪村
蒋经国	蒋友青
梁朝伟	章子怡
蔡志明	陈岚
徐庆平	徐悲鸿
李靖	金吒
陈嘉辉	吴孟达
廖一梅	孟京辉
周小川	周建南
白龙马	沙僧
吴灿英	李尚大
孙红雷	赵晨浩
金正恩	金正男
周华健	罗大佑
貂蝉	吕布
吕大钧	吕大防
蓝琼缨	何猷龙
曹丕	袁熙
郝邵文	释小龙
父	杨逍
黄铁良	汪恩禄
大S	赵晨浩
柳德米拉	普京
曹禺	郑秀
郭达	蔡明
吕大钧	吕大临
郑允浩	林俊杰
段誉	段正淳
谭富英	谭鑫培
房祖名	成龙
小S	李敖
张翠山	俞岱岩
刘连玉	王玉珍
李孝贞	李敬元
余音	焦守云
侯宝林	郭启儒
王熙凤	贾琏
汉成帝	赵合德
费孝通	吴文藻
查尔斯	戴安娜
蒋介石	蒋中正
金万昌	刘连玉
吴文藻	尼克松
梁红玉	韩世忠
刘宝瑞	女
女	毛泽东
洪晃	洪君彦
俞樾	俞平伯
翁帆	文章
范氏	江石溪
刘少奇	王光美
同治	时小福
舒乙	老舍
元华	成龙
李维嘉	李湘
王志	毕春芳
郭德纲	张德武
丁是娥	傅全香
韩信	萧何
曹禺	郑秀
刘永言	刘永美
卫子夫	卫青
容星桥	关元昌
海岩	李小璐
蒋经国	蒋孝文
佟守本	汪恩禄
纪文蕙	汪建民
陈云	于若木
赵南哲	赵治勋
傅声	甄妮
郭芙	武敦儒
贾海平	张萍
关枫馨	关礼杰
李嘉明	李嘉欣
满宠	曹操
丁子高	杨千嬅
赵晨浩	罗志祥
萧朝贵	杨秀清
丁果仙	新凤霞
毛岸英	刘思齐
钱思亮	张婉度
赵本山	孙小飞
范瑞娟	袁雪芬
侯宝林	郭启儒
张震	章子怡
刘文辉	刘文彩
蔡贵照	邱嘉雄
李川羽	吴灿英
钱惠丽	毕春芳
邓小鹏	邓浩洪
张琼姿	张琼玲
张卫健	周慧敏
唐僧	猪八戒
曹操	曹仁
女	王义夫
曹操	军
毛玉萍	周正毅
于凤至	张学良
陈致中	陈水扁
大兵	奇志
邢李源	林青霞
赵本山	高秀敏
唐杰忠	马季
梅兰芳	光绪
孙甜甜	李婷
姜昆	唐杰忠
蒋方良	蒋经国
张庭	林瑞阳
毛宁	王栎鑫
严慰冰	陆定一
曹爽	司马懿
陈锦棠	任剑辉
蔡和森	向警予
红线女	任剑辉
刘晓兰	郭云深
金少山	刘秀
冯顺弟	胡适
陈金飞	刘亦菲
成吉思汗	忽必烈
薛姨妈	王夫人
尤二姐	王熙凤
陈玉莲	陈超武
曹操	陈群
侯宝林	侯震
房仕德	成龙
刘秀	光武帝
袁雪芬	傅全香
刘曜	刘胤
袁日初	甄子丹
牛成志	侯耀文
侯宝林	郭全宝
